CardId,McmId
1,692086
2,692077
3,692083
4,692078
5,692084
6,692401
7,692081
8,692085
9,692403
10,692082
11,702298
12,702299
13,702300
14,702301
15,702302
16,702303
17,702304
18,702305
19,702306
20,702307
21,702308
22,702309
23,691000
24,689763
25,702310
26,702311
27,702312
28,702313
29,702314
30,702315
31,702316
32,702317
33,702318
34,702319
35,702320
36,702321
37,702322
38,702323
39,702324
40,702325
41,702326
42,702327
43,702328
44,702329
45,702330
46,702331
47,691001
48,689764
49,702332
50,702333
51,702334
52,702335
53,702336
54,702337
55,702338
56,702339
57,702340
58,702341
59,702342
60,702343
61,702344
62,702345
63,702346
64,689765
65,691002
66,702347
67,702348
68,702349
69,702350
70,702351
71,702352
72,702353
73,702354
74,702355
75,702358
76,702356
77,702357
78,702359
79,702360
80,702361
81,702362
82,702363
83,702364
84,702365
85,702366
86,703190
87,702367
88,702368
89,702369
90,702370
91,702371
92,702372
93,702373
94,702374
95,702375
96,702376
97,702377
98,689766
99,690998
100,702378
101,702379
102,702380
103,702381
104,702382
105,702383
106,702384
107,702385
108,702386
109,702387
110,702388
111,702389
112,702390
113,702391
114,702392
115,702393
116,702394
117,702395
118,702396
119,702397
120,702398
121,702399
122,702400
123,701132
124,702401
125,702402
126,702403
127,702404
128,702405
129,702406
130,702407
131,702408
132,702409
133,702410
134,702411
135,702412
136,702413
137,702414
138,702415
139,702416
140,702417
141,702418
142,702419
143,702420
144,689767
145,690999
146,702421
147,702422
148,702423
149,702424
150,702425
151,702426
152,702427
153,702428
154,702429
155,702430
156,702431
157,702432
158,702433
159,702434
160,702435
161,702436
162,702437
163,702438
164,702439
165,702440
166,702441
167,702442
168,702443
169,702444
170,702445
171,702446
172,702447
173,702448
174,702449
175,702450
176,703414
177,703199
178,692087
179,702451
180,702452
181,702453
182,702454
183,702455
184,702456
185,702457
186,702458
187,702459
188,702460
189,702461
190,702462
191,702463
192,702464
193,702465
194,702466
195,702467
196,702468
197,702469
198,702470
199,702471
200,702472
201,702473
202,702474
203,702475
204,702476
205,702477
206,702478
207,702479
208,702480
209,702481
210,702482
211,702483
212,702484
213,702485
214,689768
215,702486
216,689769
217,702487
218,702488
219,702489
220,702490
221,702491
222,702492
223,702493
224,702494
225,702495
226,702496
227,702497
228,702498
229,702499
230,702500
231,702501
232,702502
233,702503
234,702504
235,702505
236,702506
237,702507
238,702508
239,702509
240,702510
241,702511
242,702512
243,702513
244,702514
245,702515
246,702516
247,702517
248,702518
249,702519
250,702520
251,702521
252,702522
253,702523
254,702524
255,702525
256,702526
257,702527
258,702528
259,702529
260,702530
261,702531
262,702532
263,702533
264,702534
265,702535
266,702536
267,702537
268,702538
269,702539
270,702540
271,702541
272,702542
273,702543
274,702544
275,702545
276,702546
277,702547
278,702548
279,702549
280,702550
281,702551
282,702552
283,702553
284,702554
286,702311
287,702319
288,702333
289,702336
290,702338
291,702348
292,702356
293,702372
294,702377
295,702392
296,702402
297,702405
298,702414
299,702418
300,702420
301,702429
302,702437
303,702449
304,702460
305,702462
306,702463
307,702464
308,702465
309,702466
310,702467
311,702468
312,702469
313,702470
314,702471
315,702472
316,702473
317,702474
318,702475
319,702476
320,702477
321,702478
322,702479
323,702480
324,702481
325,702482
326,702483
327,702484
328,689768
329,689769
330,702487
331,702488
332,702489
333,702490
334,702491
335,702492
336,702493
337,702494
338,703151
339,703157
340,703148
341,703152
342,703158
343,703149
344,703153
345,703150
346,703154
347,703147
348,715473
349,715474
350,715475
351,715476
352,715477
353,715478
354,715479
355,715480
356,715481
357,715482
358,715483
359,715484
360,715485
361,715486
362,715487
363,715488
364,715489
365,715490
366,715491
367,715492
368,715493
369,715494
370,715495
371,715496
372,715497
373,715498
374,715499
375,715500
376,715501
377,715502
378,715503
379,715504
380,715505
381,715506
382,715508
383,715507
384,715509
385,715510
386,715511
387,715512
388,715513
389,715514
390,715515
391,715516
392,715517
393,715518
394,715519
395,715520
396,715521
397,715522
398,715523
399,715524
400,715525
401,715526
402,715527
403,715528
404,715529
405,715530
406,715531
407,715532
408,715533
409,715534
410,715535
411,715536
412,715537
413,715538
414,715539
415,715540
416,715541
417,715542
418,715543
419,715544
420,715545
421,715546
422,715547
423,715548
424,715549
425,715550
426,715551
427,715552
428,715553
429,715554
430,715555
431,715556
432,715557
433,715558
434,715559
435,715560
436,715561
437,715562
438,715563
439,715564
440,715565
441,715566
442,715567
443,715568
444,715569
445,715570
446,715571
447,715572
448,715573
449,715574
450,715575
451,715576
452,715577
453,715578
454,715579
455,715580
456,715581
457,709537
458,709538
459,715582
460,715583
461,715584
462,715585
463,715586
464,715587
465,715588
466,715589
467,715590
468,715591
469,715592
470,715593
471,715594
472,715595
473,715596
474,715597
475,715598
476,715599
477,715600
478,715601
479,715602
480,715603
481,715604
482,715605
483,715606
484,715607
485,715608
486,715609
487,715610
488,715611
489,715612
490,715613
491,715614
492,715615
493,715616
494,715617
495,715618
496,715619
497,715620
498,715621
499,715622
500,715623
501,715624
502,715625
503,715626
504,715627
505,715628
506,715629
507,715630
508,715631
509,715632
510,715633
511,715634
512,715635
513,715636
514,715637
515,715638
516,715639
517,715640
518,715641
519,715642
520,715643
521,715644
522,715645
523,715646
524,715647
525,715648
526,715649
527,715650
528,715651
529,715652
530,715653
531,715654
532,715655
533,715656
534,715657
535,715658
536,715659
537,715660
538,715661
539,715662
540,715663
541,715664
542,715665
543,715666
544,715667
545,715668
546,715669
547,715670
548,715671
549,715672
550,715673
551,715674
552,715675
553,715676
554,715677
555,715678
556,715679
557,715680
558,715681
559,715682
560,715683
561,715684
562,715685
563,715686
564,715687
565,715688
566,715689
567,715690
568,715691
569,715692
570,715693
571,715694
572,715695
573,715696
574,715697
575,715698
576,715699
577,715700
578,715701
579,715702
580,715703
581,715704
582,715705
583,715706
584,715707
585,715708
586,715709
587,715710
588,715711
589,715712
590,715713
591,715714
592,715715
593,715716
594,715717
595,715718
596,715719
597,715720
598,715721
599,715722
600,715723
601,715724
602,715725
603,715726
604,715727
605,715728
606,715729
607,715730
608,715731
609,715732
610,715733
611,715734
612,715735
613,715736
614,715737
615,715738
616,715739
617,715740
618,715741
619,715742
620,715743
621,715744
622,715745
623,715746
624,715747
625,715748
626,715749
627,715750
628,715751
629,715752
630,715753
631,715754
632,715475
633,715483
634,715494
635,715506
636,715517
637,715531
638,715535
639,715546
640,715551
641,715559
642,715564
643,715572
644,715573
645,715574
646,715580
647,715588
648,715598
649,715601
650,715609
651,715610
652,715611
653,715615
654,715626
655,715637
656,715646
657,715647
658,715648
659,715649
660,715650
661,715651
662,715652
663,715653
664,715654
665,715655
666,715656
667,715657
668,715658
669,715659
670,715660
671,715661
672,715662
673,715663
674,715664
675,715665
676,715666
677,715667
678,715668
679,715761
680,715765
681,720947
682,715762
683,715766
684,715763
685,715767
686,715760
687,715764
688,715768
689,725081
690,725082
691,725083
692,725084
693,725085
694,725086
695,725087
696,725088
697,725089
698,725090
699,725091
700,725092
701,725093
702,725094
703,725095
704,725096
705,725097
706,725098
707,725099
708,725100
709,725101
710,725102
711,725103
712,725104
713,725105
714,725106
715,725107
716,725108
717,725109
718,725110
719,725111
720,725112
721,725113
722,725114
723,725115
724,725116
725,725117
726,725118
727,725119
728,725120
729,725121
730,725122
731,725123
732,725124
733,725125
734,725126
735,725127
736,725128
737,725129
738,725130
739,725131
740,725132
741,725133
742,725134
743,725135
744,725136
745,725137
746,725138
747,725139
748,725140
749,725141
750,725142
751,725143
752,725144
753,725145
754,725146
755,725147
756,725148
757,725149
758,725150
759,725151
760,725152
761,725153
762,725154
763,725155
764,725156
765,725157
766,725158
767,725159
768,725160
769,725161
770,725162
771,725163
772,725164
773,725165
774,725166
775,725167
776,725168
777,725169
778,725170
779,725171
780,725172
781,725173
782,725174
783,725175
784,725176
785,725177
786,725178
787,725179
788,725180
789,725181
790,725182
791,725183
792,725184
793,725185
794,725186
795,725187
796,725188
797,725189
798,725190
799,725191
800,725192
801,725193
802,725194
803,725195
804,725196
805,725197
806,725198
807,725199
808,725200
809,725201
810,725202
811,725203
812,725204
813,725205
814,725206
815,725207
816,725208
817,725209
818,725210
819,725211
820,725212
821,725213
822,725214
823,725215
824,725216
825,725217
826,725218
827,725219
828,725220
829,725221
830,725222
831,725223
832,725224
833,725225
834,725226
835,725227
836,725228
837,725229
838,725230
839,725231
840,725232
841,725233
842,725234
843,725235
844,725236
845,725237
846,725238
847,725239
848,725240
849,725241
850,725242
851,725243
852,725244
853,725245
854,725246
855,725247
856,725248
857,725249
858,725250
859,725251
860,725252
861,725253
862,725254
863,725255
864,725256
865,725257
866,725258
867,725259
868,725260
869,725261
870,725262
871,725263
872,725264
873,725265
874,725266
875,725267
876,725268
877,725269
878,725270
879,725271
880,725272
881,725273
882,725274
883,725275
884,725276
885,725277
886,725278
887,725279
888,725280
889,725281
890,725282
891,725283
892,725284
893,725285
894,725286
895,725287
896,725288
897,725289
898,725290
899,725291
900,725292
901,725293
902,725295
903,725294
904,725296
905,725297
906,725298
907,725299
908,725300
909,725301
910,725302
911,725303
912,725304
913,725305
914,725306
915,725307
916,725308
917,725309
918,725310
919,725266
920,725267
921,725106
922,725107
923,725175
924,725216
925,725246
926,725110
927,725166
928,725268
929,725269
930,725270
931,725142
932,725271
933,725272
934,725273
935,725274
936,725221
937,725105
938,725275
939,725150
940,725165
941,725276
942,725152
943,725210
944,725277
945,720375
946,720368
947,720372
948,720369
949,720373
950,720370
951,720374
952,720371
953,720365
954,733596
955,733597
956,733598
957,733599
958,720366
959,733600
960,733601
961,733602
962,721198
963,733603
964,733604
965,733605
966,733606
967,733607
968,733608
969,733609
970,733610
971,733611
972,733612
973,733613
974,733614
975,733615
976,733616
977,733617
978,733618
979,733619
980,733620
981,733621
982,733622
983,733623
984,733624
985,733625
986,733626
987,733627
988,733628
989,733629
990,733630
991,733631
992,733632
993,733633
994,733634
995,733635
996,733636
997,733637
998,733638
999,733639
1000,733640
1001,733641
1002,733642
1003,733643
1004,733644
1005,733645
1006,733646
1007,733647
1008,733648
1009,733649
1010,733650
1011,733651
1012,733652
1013,733653
1014,733654
1015,733655
1016,733656
1017,733657
1018,733658
1019,720396
1020,733659
1021,720397
1022,733660
1023,733661
1024,733662
1025,733663
1026,733664
1027,733665
1028,733666
1029,733667
1030,733668
1031,733669
1032,733670
1033,733671
1034,733672
1035,733673
1036,733674
1037,733675
1038,733676
1039,733677
1040,733678
1041,733679
1042,733680
1043,733681
1044,733682
1045,733683
1046,733684
1047,733685
1048,733686
1049,733687
1050,733688
1051,733689
1052,733690
1053,733691
1054,733692
1055,733693
1056,733694
1057,733695
1058,733696
1059,733697
1060,733698
1061,733699
1062,733700
1063,733701
1064,733702
1065,733703
1066,733704
1067,733705
1068,733706
1069,733707
1070,733708
1071,733709
1072,733710
1073,733711
1074,733712
1075,733713
1076,733714
1077,733715
1078,733716
1079,733717
1080,733718
1081,733719
1082,720395
1083,733720
1084,733721
1085,733722
1086,733723
1087,733724
1088,733725
1089,733726
1090,733727
1091,733728
1092,733729
1093,733730
1094,733731
1095,733732
1096,733733
1097,733734
1098,733735
1099,733736
1100,733737
1101,733738
1102,733739
1103,733740
1104,733741
1105,733742
1106,733743
1107,733744
1108,733745
1109,733746
1110,733747
1111,733748
1112,733749
1113,733750
1114,733751
1115,733752
1116,733753
1117,733754
1118,733755
1119,733756
1120,733757
1121,733758
1122,733759
1123,733760
1124,733761
1125,733762
1126,733763
1127,733764
1128,733765
1129,733766
1130,733767
1131,733768
1132,733769
1133,733770
1134,733771
1135,733772
1136,733773
1137,733774
1138,733775
1139,733776
1140,733777
1141,733778
1142,733779
1143,733780
1144,733781
1145,733782
1146,733783
1147,733784
1148,733785
1149,733786
1150,733787
1151,733788
1152,733789
1153,733790
1154,733791
1155,733792
1156,733793
1157,733794
1158,733795
1159,733796
1160,733797
1161,733798
1162,733799
1163,733800
1164,720951
1165,733801
1166,733802
1167,733737
1168,733747
1169,733748
1170,733749
1171,733739
1172,733610
1173,733750
1174,733751
1175,733596
1176,733708
1177,733599
1178,733599
1179,733752
1180,733753
1181,733727
1182,733680
1183,733744
1184,733728
1185,733696
1186,733754
1187,733755
1188,733731
1189,733689
1190,733756
1191,733757
1192,733725
1193,733597
1194,733730
1195,733736
1196,733758
1197,733663
1198,733700
1199,733745
1200,733741
1201,733717
1202,733629
1203,733734
1204,733620
1205,733759
1206,733621
1207,733760
1208,733602
1209,733716
1210,733729
1211,733640
1212,733603
1213,733705
1214,729176
1215,729180
1216,729173
1217,729177
1218,729181
1219,729174
1220,729178
1221,729182
1222,729175
1223,729179
1224,740477
1225,740478
1226,740479
1227,740480
1228,740481
1229,740482
1230,740483
1231,740484
1232,740485
1233,740486
1234,740487
1235,740488
1236,740489
1237,740490
1238,740491
1239,740492
1240,740493
1241,740494
1242,740495
1243,740496
1244,740497
1245,740498
1246,740499
1247,740500
1248,740501
1249,740502
1250,740503
1251,740504
1252,740505
1253,740506
1254,740507
1255,740508
1256,740509
1257,740510
1258,740511
1259,740512
1260,740513
1261,740514
1262,740515
1263,740516
1264,740517
1265,740518
1266,740519
1267,740521
1268,740525
1269,740526
1270,740527
1271,740530
1272,740532
1273,740535
1274,740539
1275,740542
1276,740543
1277,740544
1278,740545
1279,740547
1280,740548
1281,740549
1282,740550
1283,740551
1284,740552
1285,740553
1286,740554
1287,740555
1288,740556
1289,740557
1290,740558
1291,740559
1292,740561
1293,740562
1294,740563
1295,740564
1296,740565
1297,740566
1298,740567
1299,740568
1300,740569
1301,740570
1302,740571
1303,740572
1304,740573
1305,740574
1306,740575
1307,740576
1308,740577
1309,740578
1310,740579
1311,740580
1312,740582
1313,740586
1314,740588
1315,740589
1316,740591
1317,740597
1318,740600
1319,740608
1320,740609
1321,740611
1322,740613
1323,740614
1324,740615
1325,740616
1326,740617
1327,740619
1328,740620
1329,740621
1330,740623
1331,740625
1332,740627
1333,740628
1334,740629
1335,740630
1336,740632
1337,740635
1338,740638
1339,740640
1340,740644
1341,740647
1342,740650
1343,740651
1344,740654
1345,740657
1346,740660
1347,740661
1348,740662
1349,740663
1350,740664
1351,740665
1352,740667
1353,740668
1354,740669
1355,740670
1356,740671
1357,740672
1358,740673
1359,740674
1360,740675
1361,740676
1362,740677
1363,740678
1364,740679
1365,740680
1366,740681
1367,740682
1368,740684
1369,740685
1370,740687
1371,740688
1372,740689
1373,740690
1374,740691
1375,740692
1376,740693
1377,740694
1378,740695
1379,740696
1380,740697
1381,740698
1382,740700
1383,740701
1384,740702
1385,740703
1386,740704
1387,740705
1388,740707
1389,740708
1390,740709
1391,740710
1392,740711
1393,740712
1394,740713
1395,740714
1396,740716
1397,740717
1398,740718
1399,740719
1400,740720
1401,740721
1402,740722
1403,740723
1404,740724
1405,740725
1406,740726
1407,740727
1408,740728
1409,740729
1410,740730
1411,740731
1412,740732
1413,740733
1414,740734
1415,740735
1416,740736
1417,740737
1418,740738
1419,740739
1420,740740
1421,740741
1422,740742
1423,740743
1424,740744
1425,740745
1426,740746
1427,740747
1428,740748
1429,740749
1430,740750
1431,740751
1432,740752
1433,740753
1434,740754
1435,740755
1436,740756
1437,740757
1438,740758
1439,740759
1440,740760
1441,740761
1442,740762
1443,740763
1444,740764
1445,740765
1446,740766
1447,740767
1448,740768
1449,740769
1450,740770
1451,740771
1452,740772
1453,740773
1454,740774
1455,740775
1456,740776
1457,740777
1458,740778
1459,740779
1460,740780
1461,740781
1462,740782
1463,740783
1464,740784
1465,740785
1466,740786
1467,740787
1468,740788
1469,740789
1470,740790
1471,740791
1472,740792
1473,740793
1474,740794
1475,740795
1476,740796
1477,740797
1478,740798
1479,740799
1480,740800
1481,740801
1482,740802
1483,740803
1484,740804
1485,740805
1486,740806
1487,740807
1488,740808
1489,740809
1490,740632
1491,740672
1492,740700
1493,740660
1494,740505
1495,740548
1496,740701
1497,740702
1498,740703
1499,740566
1500,740704
1501,740573
1502,740705
1503,740600
1504,740619
1505,740597
1506,740579
1507,740580
1508,740532
1509,740591
1510,740547
1511,740698
1512,740504
1513,740663
1514,740508
1515,740707
1516,740565
1517,740657
1518,740708
1519,740725
1520,740709
1521,740512
1522,740654
1523,740563
1524,740710
1525,740516
1526,740711
1527,740682
1528,740712
1529,740713
1530,740714
1531,740716
1532,740717
1533,740718
1534,740662
1535,740719
1536,740720
1537,740721
1538,740722
1539,740723
1540,740651
1541,740627
1542,740724
1543,740498
1544,740494
1545,740564
1546,740647
1547,740674
1548,740557
1549,273696
1550,660227
1551,273697
1552,660226
1553,660225
1554,273698
1555,660224
1556,273699
1557,660223
1558,273700
1559,273701
1560,660222
1561,660221
1562,273702
1565,273704
1566,660219
1567,273705
1568,660218
1569,660217
1570,273706
1571,660216
1572,273707
1573,273708
1574,660215
1575,660214
1576,273709
1577,273710
1578,660213
1579,273711
1580,660212
1581,273712
1582,660211
1583,660210
1584,273713
1585,660209
1586,273714
1587,273715
1588,660208
1589,660207
1590,273716
1591,273717
1592,660206
1593,273718
1594,660205
1595,273719
1596,660204
1597,660203
1598,273720
1599,273721
1600,660202
1601,273722
1602,660201
1603,660200
1604,273723
1605,660199
1606,273724
1607,660198
1608,273725
1609,273726
1610,660197
1611,660196
1612,273727
1613,273728
1614,660195
1615,273729
1616,660194
1617,660193
1618,273730
1619,660192
1620,273731
1621,660191
1622,273732
1623,273733
1624,660190
1625,660189
1626,273734
1627,273735
1628,660188
1629,273736
1630,660187
1631,273737
1632,660186
1633,660185
1634,273738
1635,660184
1636,273739
1637,547236
1638,273740
1639,660183
1640,660182
1641,273741
1642,547241
1643,273742
1644,660181
1645,273743
1646,660180
1647,273744
1648,660179
1649,660178
1650,273745
1651,660177
1652,273746
1653,273747
1654,660176
1655,660175
1656,273748
1657,273749
1658,660174
1659,273750
1660,660173
1661,273751
1662,660172
1663,660171
1664,273752
1665,275586
1666,273753
1667,660170
1668,362859
1669,275568
1670,660169
1671,273754
1672,660168
1673,660167
1674,273755
1675,660166
1676,273756
1677,273757
1678,660165
1679,547246
1680,660164
1681,273758
1682,660163
1683,273759
1684,273760
1685,660162
1686,273761
1687,660161
1688,660160
1689,273762
1690,660159
1691,273763
1692,273764
1693,660158
1694,660150
1695,273765
1696,660149
1697,273766
1698,273767
1699,660147
1700,273768
1701,660146
1702,660144
1703,273769
1704,660143
1705,273770
1706,273771
1707,660142
1708,273772
1709,660140
1710,660138
1711,273773
1712,273774
1713,660137
1714,273775
1715,660135
1716,660134
1717,273776
1718,660132
1719,273777
1720,273778
1721,660123
1722,273779
1723,660122
1724,660121
1725,273780
1726,273781
1727,660120
1728,273782
1729,660119
1730,660118
1731,273783
1732,660116
1733,273784
1734,273785
1735,660115
1736,273786
1737,660113
1738,660112
1739,273787
1740,660110
1741,273788
1742,273789
1743,660109
1744,660107
1745,273790
1746,660106
1747,273791
1748,273792
1749,660105
1750,273793
1751,660103
1752,660102
1753,273794
1754,660101
1755,273795
1756,273796
1757,660098
1758,660096
1759,273797
1760,300893
1761,300932
1762,300933
1763,300934
1764,371569
1765,279739
1766,279740
1767,279741
1768,279742
1769,279743
1770,279744
1771,279745
1772,279746
1773,279747
1774,279748
1775,279749
1776,279750
1777,279751
1778,279752
1779,371571
1780,279753
1781,279754
1782,279755
1783,279756
1784,279757
1785,279758
1786,279759
1787,279760
1788,279761
1789,279762
1790,279763
1791,576682
